business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
63156,TAKARA SUSHI S.F. INC,4243 18TH ST ,San Francisco,CA,94114,37.760733,-122.436848,14158286666,88.0,2015-08-31,routine,2015.0,8.0
63156,TAKARA SUSHI S.F. INC,4243 18TH ST ,San Francisco,CA,94114,37.760733,-122.436848,14158286666,81.0,2017-08-02,routine,2017.0,8.0
63156,TAKARA SUSHI S.F. INC,4243 18TH ST ,San Francisco,CA,94114,37.760733,-122.436848,14158286666,86.0,2018-02-12,routine,2018.0,2.0
94190,TAKOBA SF,138 MINNA ST ,San Francisco,CA,94105,,,14153908852,96.0,2018-02-27,routine,2018.0,2.0
89981,TAKUYA,716 IRVING ST ,San Francisco,CA,94122,,,14156666408,,,,,
1810,TAL-Y-TARA TEA & POLO SHOPPE,6439 CALIFORNIA ST ,San Francisco,CA,94121,37.783773,-122.486779,14157519275,90.0,2015-11-24,routine,2015.0,11.0
90817,TAMALITOS CATERING,2948 FOLSOM ST ,San Francisco,CA,94110,,,14155094638,100.0,2017-03-15,routine,2017.0,3.0
86213,TAMARIND HALL,1268 GRANT AVE ,San Francisco,CA,94133,,,,91.0,2016-06-20,routine,2016.0,6.0
86213,TAMARIND HALL,1268 GRANT AVE ,San Francisco,CA,94133,,,,94.0,2018-01-16,routine,2018.0,1.0
77173,TAMASHI,1849 UNION ST ,San Francisco,CA,94123,,,14158784668,74.0,2017-05-15,routine,2017.0,5.0
77173,TAMASHI,1849 UNION ST ,San Francisco,CA,94123,,,14158784668,86.0,2017-11-02,routine,2017.0,11.0
77173,TAMASHI,1849 UNION ST ,San Francisco,CA,94123,,,14158784668,79.0,2018-07-09,routine,2018.0,7.0
88182,TAMMY'S CHICKEN IN WAFFLES,1 AVENUE OF THE PALMS  #021,San Francisco,CA,94130,,,14156785323,,,,,
4753,TAN'S CAFE III,155 FRANCISCO ST ,San Francisco,CA,94133,37.805285999999995,-122.408075,14159822290,90.0,2016-05-05,routine,2016.0,5.0
4753,TAN'S CAFE III,155 FRANCISCO ST ,San Francisco,CA,94133,37.805285999999995,-122.408075,14159822290,88.0,2016-11-10,routine,2016.0,11.0
4753,TAN'S CAFE III,155 FRANCISCO ST ,San Francisco,CA,94133,37.805285999999995,-122.408075,14159822290,98.0,2017-08-24,routine,2017.0,8.0
4753,TAN'S CAFE III,155 FRANCISCO ST ,San Francisco,CA,94133,37.805285999999995,-122.408075,14159822290,98.0,2018-02-15,routine,2018.0,2.0
645,TAN-TAN,1825 POST ST #223,San Francisco,CA,94115,37.785274,-122.431918,14153466260,93.0,2017-04-05,routine,2017.0,4.0
88119,TANCCA LLC,5015 GEARY BLVD ,San Francisco,CA,94118,,,14155152710,94.0,2018-05-22,routine,2018.0,5.0
89798,TANG COLLECTION,1033 TARAVAL ST ,San Francisco,CA,94116,,,14156616888,86.0,2017-01-04,routine,2017.0,1.0
89798,TANG COLLECTION,1033 TARAVAL ST ,San Francisco,CA,94116,,,14156616888,82.0,2017-11-30,routine,2017.0,11.0
38307,TANGUITO,2850 JONES ST ,San Francisco,CA,94133,37.807263,-122.41722,14159027131,90.0,2017-07-11,routine,2017.0,7.0
70141,TANK 18 WINERY,1345 HOWARD ST ,San Francisco,CA,94103,,,,98.0,2017-02-23,routine,2017.0,2.0
1567,TANPOPO,1740 BUCHANAN ST ,San Francisco,CA,94115,37.785961,-122.429776,14153467132,87.0,2016-04-19,routine,2016.0,4.0
82466,TANUKI RESTAURANT,4419 CALIFORNIA ST ,San Francisco,CA,94118,,,14153707607,83.0,2016-02-17,routine,2016.0,2.0
82466,TANUKI RESTAURANT,4419 CALIFORNIA ST ,San Francisco,CA,94118,,,14153707607,92.0,2016-12-06,routine,2016.0,12.0
82466,TANUKI RESTAURANT,4419 CALIFORNIA ST ,San Francisco,CA,94118,,,14153707607,92.0,2017-09-01,routine,2017.0,9.0
80587,TAO SUSHI,4808 MISSION ST ,San Francisco,CA,94112,,,14155855505,83.0,2016-10-05,routine,2016.0,10.0
